BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
'2.1.2.1'	'major CHO metabolism.synthesis.starch.AGPase'	'go:0008878'	'glucose-1-phosphate adenylyltransferase activity'	
'2.1.2.2'	'major CHO metabolism.synthesis.starch.starch synthase'	'go:0009011'	'starch synthase activity'	
'2.1.2.3'	'major CHO metabolism.synthesis.starch.starch branching'	'go:0003844'	'1,4-alpha-glucan branching enzyme activity'	
'2.1.2.4'	'major CHO metabolism.synthesis.starch.debranching'	'go:0019156'	'isoamylase activity'	
'2.1.2.4'	'major CHO metabolism.synthesis.starch.debranching'	'go:0004556'	'alpha-amylase activity'	
'2.2'	''	''	''	
'2.2.1'	''	''	''	
'2.2.1.1'	'major CHO metabolism.degradation.sucrose.fructokinase'	'go:0004747'	'ribokinase activity'	
'2.2.1.3'	''	''	''	
'2.2.1.3.1'	'major CHO metabolism.degradation.sucrose.invertases.neutral'	'go:0004564'	'beta-fructofuranosidase activity'	
'2.2.1.3.2'	'major CHO metabolism.degradation.sucrose.invertases.cell wall'	'go:0004564'	'beta-fructofuranosidase activity'	
'2.2.1.3.3'	'major CHO metabolism.degradation.sucrose.invertases.vacuolar'	'go:0004564'	'beta-fructofuranosidase activity'	
'2.2.1.3.30'	'major CHO metabolism.degradation.sucrose.invertases.inhibitors'	'go:0004857'	'enzyme inhibitor activity'	
'2.2.1.4'	'major CHO metabolism.degradation.sucrose.hexokinase'	'go:0004396'	'hexokinase activity'	
'2.2.1.5'	'major CHO metabolism.degradation.sucrose.Susy'	'go:0016157'	'sucrose synthase activity'	
'2.2.2'	''	''	''	
'2.2.2.2'	'major CHO metabolism.degradation.starch.starch phosphorylase'	'go:0004645'	'phosphorylase activity'	
'2.2.2.3'	'major CHO metabolism.degradation.starch.glucan water dikinase'	'go:0050521'	'alpha-glucan, water dikinase activity'	
'2.2.2.4'	'major CHO metabolism.degradation.starch.D enzyme'	'go:0004134'	'4-alpha-glucanotransferase activity'	
'2.2.2.6'	'major CHO metabolism.degradation.starch.transporter'	'go:0015144'	'carbohydrate transmembrane transporter activity'	
'3'	''	''	''	
'3.1'	''	''	''	
'3.1.2'	''	''	''	
'3.1.2.1'	'minor CHO metabolism.raffinose family.raffinose synthases.known'	'go:0047274'	'galactinol-sucrose galactosyltransferase activity'	
'3.1.3'	'minor CHO metabolism.raffinose family.stachyose synthases'	'go:0047268'	'galactinol-raffinose galactosyltransferase activity'	
'3.2'	''	''	''	
'3.2.1'	'minor CHO metabolism.trehalose.TPS'	'go:0003825'	'alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity'	
'3.2.2'	'minor CHO metabolism.trehalose.TPP'	'go:0004805'	'trehalose-phosphatase activity'	
'3.2.3'	'minor CHO metabolism.trehalose.potential TPS/TPP'	'go:0004805'	'trehalose-phosphatase activity'	
'3.2.3'	'minor CHO metabolism.trehalose.potential TPS/TPP'	'go:0003825'	'alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity'	
'3.2.4'	'minor CHO metabolism.trehalose.trehalase'	'go:0004555'	'alpha,alpha-trehalase activity'	
'3.3'	'minor CHO metabolism.sugar alcohols'	'go:0016773'	'phosphotransferase activity, alcohol group as acceptor'	
'3.4'	''	''	''	
'3.4.1'	'minor CHO metabolism.myo-inositol.poly-phosphatases'	'go:0004445'	'inositol-polyphosphate 5-phosphatase activity'	
'3.4.2'	'minor CHO metabolism.myo-inositol.InsP-Kinases'	'go:0004428'	'inositol or phosphatidylinositol kinase activity'	
'3.4.3'	'minor CHO metabolism.myo-inositol.InsP Synthases'	'go:0004512'	'inositol-3-phosphate synthase activity'	
'3.4.4'	'minor CHO metabolism.myo-inositol.myo inositol oxygenases'	'go:0050113'	'inositol oxygenase activity'	
'3.4.5'	'minor CHO metabolism.myo-inositol.inositol phosphatase'	'go:0004437'	'inositol or phosphatidylinositol phosphatase activity'	
'3.5'	''	''	''	
'3.5.1'	'minor CHO metabolism.others.Xylose isomerase'	'go:0009045'	'xylose isomerase activity'	
'3.6'	'minor CHO metabolism.callose'	'go:0003843'	'1,3-beta-glucan synthase activity'	
'3.7'	'minor CHO metabolism.sugar kinases'	'go:0004856'	'xylulokinase activity'	
'3.8'	'minor CHO metabolism.galactose'	'go:0004565'	'beta-galactosidase activity'	
'3.8.1'	'minor CHO metabolism.galactose.galactokinases'	'go:0004335'	'galactokinase activity'	
'3.8.2'	'minor CHO metabolism.galactose.alpha-galactosidases'	'go:0004557'	'alpha-galactosidase activity'	
'4'	''	''	''	
'4.1'	'glycolysis.UGPase'	'go:0003983'	'UTP:glucose-1-phosphate uridylyltransferase activity'	
'4.2'	'glycolysis.PGM'	'go:0004614'	'phosphoglucomutase activity'	
'4.3'	'glycolysis.G6PIsomerase'	'go:0004347'	'glucose-6-phosphate isomerase activity'	
'4.4'	'glycolysis.PPFK'	'go:0003872'	'6-phosphofructokinase activity'	
'4.5'	'glycolysis.pyrophosphate-fructose-6-P phosphotransferase'	'go:0047334'	'diphosphate-fructose-6-phosphate 1-phosphotransferase activity'	
'4.6'	'glycolysis.Fruc2,6BisPase'	'go:0004331'	'fructose-2,6-bisphosphate 2-phosphatase activity'	
'4.7'	'glycolysis.aldolase'	'go:0004332'	'fructose-bisphosphate aldolase activity'	
'4.8'	'glycolysis.TPI'	'go:0004807'	'triose-phosphate isomerase activity'	
'4.9'	'glycolysis.glyceraldehyde 3-phosphate dehydrogenase'	'go:0008943'	'glyceraldehyde-3-phosphate dehydrogenase activity'	
'4.9'	'glycolysis.glyceraldehyde 3-phosphate dehydrogenase'	'go:0004365'	'glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity'	
'4.10'	'glycolysis.phosphoglycerate kinase'	'go:0004618'	'phosphoglycerate kinase activity'	
'4.11'	'glycolysis.phosphoglycerate mutase'	'go:0004619'	'phosphoglycerate mutase activity'	
'4.12'	'glycolysis.enolase'	'go:0004634'	'phosphopyruvate hydratase activity'	
'4.13'	'glycolysis.PK'	'go:0004743'	'pyruvate kinase activity'	
'4.14'	'glycolysis.PEPCase'	'go:0008964'	'phosphoenolpyruvate carboxylase activity'	
'5'	''	''	''	
'5.1'	'fermentation.LDH'	'go:0004457'	'lactate dehydrogenase activity'	
'5.2'	'fermentation.PDC'	'go:0004737'	'pyruvate decarboxylase activity'	
'5.3'	'fermentation.ADH'	'go:0004022'	'alcohol dehydrogenase (NAD) activity'	
'5.10'	'fermentation.aldehyde dehydrogenase'	'go:0004029'	'aldehyde dehydrogenase (NAD) activity'	
'6'	''	''	''	
'6.1'	'gluconeogenese/ glyoxylate cycle.citrate synthase'	'go:0004108'	'citrate (SI)-synthase activity'	
'6.2'	'gluconeogenese/ glyoxylate cycle.malate synthase'	'go:0004474'	'malate synthase activity'	
'6.3'	'gluconeogenesis.Malate DH'	'go:0016615'	'malate dehydrogenase activity'	
'6.4'	'gluconeogenese/ glyoxylate cycle.PEPCK'	'go:0004612'	'phosphoenolpyruvate carboxykinase (ATP) activity'	
'6.4'	'gluconeogenese/ glyoxylate cycle.PEPCK'	'go:0004611'	'phosphoenolpyruvate carboxykinase activity'	
'6.5'	'gluconeogenese/ glyoxylate cycle.pyruvate dikinase'	'go:0050242'	'pyruvate, phosphate dikinase activity'	
'6.9'	'gluconeogenese/ glyoxylate cycle.isocitrate lyase'	'go:0004451'	'isocitrate lyase activity'	
'7'	''	''	''	
'7.1'	''	''	''	
'7.1.1'	'OPP.oxidative PP.G6PD'	'go:0004345'	'glucose-6-phosphate dehydrogenase activity'	
'7.1.2'	'OPP.oxidative PP.6-phosphogluconolactonase'	'go:0017057'	'6-phosphogluconolactonase activity'	
'7.1.3'	'OPP.oxidative PP.6-phosphogluconate dehydrogenase'	'go:0004616'	'phosphogluconate dehydrogenase (decarboxylating) activity'	
'7.2'	''	''	''	
'7.2.1'	'OPP.non-reductive PP.transketolase'	'go:0004802'	'transketolase activity'	
'7.2.2'	'OPP.non-reductive PP.transaldolase'	'go:0004801'	'transaldolase activity'	
'7.2.3'	'OPP.non-reductive PP.ribulose-phosphate 3-epimerase'	'go:0004750'	'ribulose-phosphate 3-epimerase activity'	
'7.2.4'	'OPP.non-reductive PP.ribose 5-phosphate isomerase'	'go:0004751'	'ribose-5-phosphate isomerase activity'	
'8'	''	''	''	
'8.1'	''	''	''	
'8.1.1'	''	''	''	
'8.1.1.1'	'TCA / org. transformation.TCA.pyruvate DH.E1'	'go:0004739'	'pyruvate dehydrogenase (acetyl-transferring) activity'	
'8.1.1.2'	'TCA / org. transformation.TCA.pyruvate DH.E2'	'go:0004742'	'dihydrolipoyllysine-residue acetyltransferase activity'	
'8.1.1.3'	'TCA / org. transformation.TCA.pyruvate DH.E3'	'go:0004148'	'dihydrolipoyl dehydrogenase activity'	
'8.1.2'	'TCA / org. transformation.TCA.CS'	'go:0004108'	'citrate (SI)-synthase activity'	
'8.1.3'	'TCA / org. transformation.TCA.aconitase'	'go:0003994'	'aconitate hydratase activity'	
'8.1.4'	'TCA / org. transformation.TCA.IDH'	'go:0004450'	'isocitrate dehydrogenase (NADP+) activity'	
'8.1.4'	'TCA / org. transformation.TCA.IDH'	'go:0004449'	'isocitrate dehydrogenase (NAD+) activity'	
'8.1.5'	'TCA / org. transformation.TCA.2-oxoglutarate dehydrogenase'	'go:0004591'	'oxoglutarate dehydrogenase (succinyl-transferring) activity'	
'8.1.6'	'TCA / org. transformation.TCA.succinyl-CoA ligase'	'go:0004776'	'succinate-CoA ligase (GDP-forming) activity'	
'8.1.6'	'TCA / org. transformation.TCA.succinyl-CoA ligase'	'go:0004775'	'succinate-CoA ligase (ADP-forming) activity'	
'8.1.7'	'TCA / org. transformation.TCA.succinate dehydrogenase'	'go:0000104'	'succinate dehydrogenase activity'	
'8.1.8'	'TCA / org. transformation.TCA.fumarase'	'go:0004333'	'fumarate hydratase activity'	
'8.1.9'	'TCA / org. transformation.TCA.malate DH'	'go:0016615'	'malate dehydrogenase activity'	
'8.2'	''	''	''	
'8.2.4'	'TCA / org. transformation.other organic acid transformaitons.IDH'	'go:0004449'	'isocitrate dehydrogenase (NAD+) activity'	
'8.2.9'	'TCA / org. transformation.other organic acid transformaitons.cyt MDH'	'go:0016615'	'malate dehydrogenase activity'	
'8.2.10'	'TCA / org. transformation.other organic acid transformaitons.malic'	'go:0004470'	'malic enzyme activity'	
'8.2.11'	'TCA / org. transformation.other organic acid transformaitons.atp-citrate lyase'	'go:0003878'	'ATP citrate synthase activity'	
'8.3'	'TCA / org. transformation.carbonic anhydrases'	'go:0004089'	'carbonate dehydratase activity'	
'9'	''	''	''	
'9.1'	'mitochondrial electron transport / ATP synthesis.NADH-DH'	'go:0003954'	'NADH dehydrogenase activity'	
'9.1.1'	''	''	''	
'9.1.1.5'	'mitochondrial electron transport / ATP synthesis.NADH-DH.carbonic anhydrase'	'go:0004089'	'carbonate dehydratase activity'	
'9.2'	''	''	''	
'9.2.1'	'mitochondrial electron transport / ATP synthesis.NADH-DH.type II.internal matrix'	'go:0003954'	'NADH dehydrogenase activity'	
'9.4'	'mitochondrial electron transport / ATP synthesis.alternative oxidase'	'go:0009916'	'alternative oxidase activity'	
'9.5'	'mitochondrial electron transport / ATP synthesis.cytochrome c reductase'	'go:0008121'	'ubiquinol-cytochrome-c reductase activity'	
'9.7'	'mitochondrial electron transport / ATP synthesis.cytochrome c oxidase'	'go:0004129'	'cytochrome-c oxidase activity'	
'9.8'	'mitochondrial electron transport / ATP synthesis.uncoupling protein'	'go:0017077'	'oxidative phosphorylation uncoupler activity'	
'9.9'	'mitochondrial electron transport / ATP synthesis.F1-ATPase'	'go:0046933'	'hydrogen ion transporting ATP synthase activity, rotational mechanism'	
'10'	''	''	''	
'10.1'	''	''	''	
'10.1.1'	''	''	''	
'10.1.1.1'	'cell wall.precursor synthesis.NDP sugar pyrophosphorylase.GDP mannose'	'go:0004475'	'mannose-1-phosphate guanylyltransferase activity'	
'10.1.2'	'cell wall.precursor synthesis.UGE'	'go:0003978'	'UDP-glucose 4-epimerase activity'	
'10.1.4'	'cell wall.precursor synthesis.UGD'	'go:0003979'	'UDP-glucose 6-dehydrogenase activity'	
'10.1.5'	'cell wall.precursor synthesis.UXS'	'go:0048040'	'UDP-glucuronate decarboxylase activity'	
'10.1.6'	'cell wall.precursor synthesis.GAE'	'go:0050378'	'UDP-glucuronate 4-epimerase activity'	
'10.1.7'	'cell wall.precursor synthesis.GMD'	'go:0008446'	'GDP-mannose 4,6-dehydratase activity'	
'10.1.9'	'cell wall.precursor synthesis.MUR4'	'go:0003978'	'UDP-glucose 4-epimerase activity'	
'10.1.9'	'cell wall.precursor synthesis.MUR4'	'go:0050373'	'UDP-arabinose 4-epimerase activity'	
'10.1.10'	'cell wall.precursor synthesis.RHM'	'go:0010280'	'UDP-L-rhamnose synthase activity'	
'10.1.11'	'cell wall.precursor synthesis.UER'	'go:0008831'	'dTDP-4-dehydrorhamnose reductase activity'	
'10.1.11'	'cell wall.precursor synthesis.UER'	'go:0008830'	'dTDP-4-dehydrorhamnose 3,5-epimerase activity'	
'10.1.11'	'cell wall.precursor synthesis.UER'	'go:0010490'	'UDP-4-keto-rhamnose-4-keto-reductase activity'	
'10.1.20'	'cell wall.precursor synthesis.phosphomannose isomerase'	'go:0004476'	'mannose-6-phosphate isomerase activity'	
'10.1.21'	'cell wall.precursor synthesis.phosphomannomutase'	'go:0004615'	'phosphomannomutase activity'	
'10.2'	'cell wall.cellulose synthesis'	'go:0016759'	'cellulose synthase activity'	
'10.2.1'	'cell wall.cellulose synthesis.cellulose synthase'	'go:0016759'	'cellulose synthase activity'	
'10.5'	''	''	''	
'10.5.1'	'cell wall.cell wall proteins.AGPs'	'go:0030247'	'polysaccharide binding'	
'10.5.2'	'cell wall.cell wall proteins.proline rich proteins'	'go:0005199'	'structural constituent of cell wall'	
'10.5.3'	'cell wall.cell wall proteins.LRR'	'go:0005199'	'structural constituent of cell wall'	
'10.5.4'	'cell wall.cell wall proteins.HRGP'	'go:0005199'	'structural constituent of cell wall'	
'10.5.5'	'cell wall.cell wall proteins.RGP'	'go:0016760'	'cellulose synthase (UDP-forming) activity'	
'10.6'	''	''	''	
'10.6.1'	'cell wall.degradation.cellulases and beta -1,4-glucanases'	'go:0004553'	'hydrolase activity, hydrolyzing O-glycosyl compounds'	
'10.6.2'	'cell wall.degradation.mannan-xylose-arabinose-fucose'	'go:0004553'	'hydrolase activity, hydrolyzing O-glycosyl compounds'	
'10.6.3'	'cell wall.degradation.pectate lyases and polygalacturonases'	'go:0004650'	'polygalacturonase activity'	
'10.6.3'	'cell wall.degradation.pectate lyases and polygalacturonases'	'go:0030570'	'pectate lyase activity'	
'10.8'	''	''	''	
'10.8.1'	'cell wall.pectin*esterases.PME'	'go:0030599'	'pectinesterase activity'	
'10.8.2'	'cell wall.pectin*esterases.acetyl esterase'	'go:0004091'	'carboxylesterase activity'	
'10.8.99'	'cell wall.pectin*esterases.misc'	'go:0030599'	'pectinesterase activity'	
'11'	''	''	''	
'11.1'	''	''	''	
'11.1.1'	'lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Carboxylation'	'go:0003989'	'acetyl-CoA carboxylase activity'	
'11.1.3'	'lipid metabolism.FA synthesis and FA elongation.ketoacyl ACP synthase'	'go:0004315'	'3-oxoacyl-[acyl-carrier-protein] synthase activity'	
'11.1.4'	'lipid metabolism.FA synthesis and FA elongation.ACP oxoacyl reductase'	'go:0004316'	'3-oxoacyl-[acyl-carrier-protein] reductase activity'	
'11.1.5'	'lipid metabolism.FA synthesis and FA elongation.beta hydroxyacyl ACP dehydratase'	'go:0019171'	'3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity'	
'11.1.6'	'lipid metabolism.FA synthesis and FA elongation.enoyl ACP reductase'	'go:0016631'	'enoyl-[acyl-carrier-protein] reductase activity'	
'11.1.6'	'lipid metabolism.FA synthesis and FA elongation.enoyl ACP reductase'	'go:0004318'	'enoyl-[acyl-carrier-protein] reductase (NADH) activity'	
'11.1.7'	'lipid metabolism.FA synthesis and FA elongation.ACP thioesterase'	'go:0016297'	'acyl-[acyl-carrier-protein] hydrolase activity'	
'11.1.8'	'lipid metabolism.FA synthesis and FA elongation.acyl coa ligase'	'go:0003987'	'acetate-CoA ligase activity'	
'11.1.9'	'lipid metabolism.FA synthesis and FA elongation.long chain fatty acid CoA ligase'	'go:0004467'	'long-chain-fatty-acid-CoA ligase activity'	
'11.1.11'	'lipid metabolism.FA synthesis and FA elongation.fatty acid elongase'	'go:0009922'	'fatty acid elongase activity'	
'11.1.12'	'lipid metabolism.FA synthesis and FA elongation.ACP protein'	'go:0000036'	'acyl carrier activity'	
'11.1.13'	'lipid metabolism.FA synthesis and FA elongation.acyl-CoA binding protein'	'go:0000062'	'acyl-CoA binding'	
'11.1.15'	'lipid metabolism.FA synthesis and FA elongation.ACP desaturase'	'go:0045300'	'acyl-[acyl-carrier-protein] desaturase activity'	
'11.1.20'	'lipid metabolism.FA synthesis and FA elongation.MCD'	'go:0050080'	'malonyl-CoA decarboxylase activity'	
'11.1.30'	'lipid metabolism.FA synthesis and FA elongation.pyruvate kinase'	'go:0004743'	'pyruvate kinase activity'	
'11.1.31'	'lipid metabolism.FA synthesis and FA elongation.pyruvate DH'	'go:0004739'	'pyruvate dehydrogenase (acetyl-transferring) activity'	
'11.2'	''	''	''	
'11.2.1'	'lipid metabolism.FA desaturation.desaturase'	'go:0009979'	'16:0 monogalactosyldiacylglycerol desaturase activity'	
'11.2.3'	'lipid metabolism.FA desaturation.omega 3 desaturase'	'go:0042389'	'omega-3 fatty acid desaturase activity'	
'11.2.4'	'lipid metabolism.FA desaturation.omega 6 desaturase'	'go:0045485'	'omega-6 fatty acid desaturase activity'	
'11.3'	''	''	''	
'11.3.1'	'lipid metabolism.Phospholipid synthesis.1-acylglycerol-3-phosphate O-acyltransferase'	'go:0003841'	'1-acylglycerol-3-phosphate O-acyltransferase activity'	
'11.3.2'	'lipid metabolism.Phospholipid synthesis.choline kinase'	'go:0004103'	'choline kinase activity'	
'11.3.3'	'lipid metabolism.Phospholipid synthesis.phosphatidate cytidylyltransferase'	'go:0004605'	'phosphatidate cytidylyltransferase activity'	
'11.3.4'	'lipid metabolism.Phospholipid synthesis.CDP-diacylglycerol-inositol 3-phosphatidyltransferase'	'go:0003881'	'CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity'	
'11.3.5'	'lipid metabolism.Phospholipid synthesis.diacylglycerol kinase'	'go:0004143'	'diacylglycerol kinase activity'	
'11.3.6'	'lipid metabolism.Phospholipid synthesis.choline-phosphate cytidylyltransferase'	'go:0004105'	'choline-phosphate cytidylyltransferase activity'	
'11.3.7'	'lipid metabolism.Phospholipid synthesis.cyclopropane-fatty-acyl-phospholipid synthase'	'go:0008825'	'cyclopropane-fatty-acyl-phospholipid synthase activity'	
'11.3.8'	'lipid metabolism.Phospholipid synthesis.phosphatidylserine decarboxylase'	'go:0004609'	'phosphatidylserine decarboxylase activity'	
'11.3.10'	'lipid metabolism.Phospholipid synthesis.(S)-coclaurine-N-methyltransferase'	'go:0030794'	'(S)-coclaurine-N-methyltransferase activity'	
'11.4'	'lipid metabolism.TAG synthesis'	'go:0004144'	'diacylglycerol O-acyltransferase activity'	
'11.5'	''	''	''	
'11.5.1'	'lipid metabolism.glyceral metabolism.glycerol kinase'	'go:0004370'	'glycerol kinase activity'	
'11.5.2'	'lipid metabolism.glyceral metabolism.Glycerol-3-phosphate dehydrogenase (NAD+)'	'go:0004367'	'glycerol-3-phosphate dehydrogenase (NAD+) activity'	
'11.5.3'	'lipid metabolism.glyceral metabolism.FAD-dependent glycerol-3-phosphate dehydrogenase'	'go:0004368'	'glycerol-3-phosphate dehydrogenase activity'	
'11.6'	'lipid metabolism.lipid transfer proteins etc'	'go:0005319'	'lipid transporter activity'	
'11.8'	''	''	''	
'11.8.1'	''	''	''	
'11.8.1.1'	'lipid metabolism.'exotics' (steroids, squalene etc).sphingolipids.ceramidase'	'go:0017040'	'ceramidase activity'	
'11.8.1.2'	'lipid metabolism.'exotics' (steroids, squalene etc).sphingolipids.serine C-palmitoyltransferase'	'go:0004758'	'serine C-palmitoyltransferase activity'	
'11.8.1.3'	'lipid metabolism.'exotics' (steroids, squalene etc).sphingolipids.ceramide glucosyltransferase'	'go:0008120'	'ceramide glucosyltransferase activity'	
'11.8.2'	'lipid metabolism.'exotics' (steroids, squalene etc).methylsterol monooxygenase'	'go:0000254'	'C-4 methylsterol oxidase activity'	
'11.8.3'	'lipid metabolism.'exotics' (steroids, squalene etc).UDP-glucose:sterol glucosyltransferase'	'go:0016906'	'sterol 3-beta-glucosyltransferase activity'	
'11.8.4'	'lipid metabolism.'exotics' (steroids, squalene etc).3-beta hydroxysteroid dehydrogenase/isomerase'	'go:0047012'	'sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating) activity'	
'11.8.4'	'lipid metabolism.'exotics' (steroids, squalene etc).3-beta hydroxysteroid dehydrogenase/isomerase'	'go:0003854'	'3-beta-hydroxy-delta5-steroid dehydrogenase activity'	
'11.8.7'	'lipid metabolism.'exotics' (steroids, squalene etc).trans-2-enoyl-CoA reductase (NADPH)'	'go:0019166'	'trans-2-enoyl-CoA reductase (NADPH) activity'	
'11.8.8'	'lipid metabolism.'exotics' (steroids, squalene etc).squalene synthase'	'go:0004310'	'farnesyl-diphosphate farnesyltransferase activity'	
'11.8.10'	'lipid metabolism.'exotics' (steroids, squalene etc).phosphatidylcholinesterol O-acyltransferase'	'go:0004607'	'phosphatidylcholine-sterol O-acyltransferase activity'	
'11.9'	''	''	''	
'11.9.2'	'lipid metabolism.lipid degradation.lipases'	'go:0004806'	'triglyceride lipase activity'	
'11.9.2.1'	'lipid metabolism.lipid degradation.lipases.triacylglycerol lipase'	'go:0004806'	'triglyceride lipase activity'	
'11.9.3'	'lipid metabolism.lipid degradation.lysophospholipases'	'go:0008970'	'phospholipase A1 activity'	
'11.9.3.1'	'lipid metabolism.lipid degradation.lysophospholipases.phospholipase D'	'go:0004630'	'phospholipase D activity'	
'11.9.3.2'	'lipid metabolism.lipid degradation.lysophospholipases.carboxylesterase'	'go:0004091'	'carboxylesterase activity'	
'11.9.3.3'	'lipid metabolism.lipid degradation.lysophospholipases.glycerophosphodiester phosphodiesterase'	'go:0008889'	'glycerophosphodiester phosphodiesterase activity'	
'11.9.3.4'	'lipid metabolism.lipid degradation.lysophospholipases.phospholipase A2'	'go:0004623'	'phospholipase A2 activity'	
'11.9.3.5'	'lipid metabolism.lipid degradation.lysophospholipases.phosphoinositide phospholipase C'	'go:0004629'	'phospholipase C activity'	
'11.9.4'	''	''	''	
'11.9.4.2'	'lipid metabolism.lipid degradation.beta-oxidation.acyl CoA DH'	'go:0003997'	'acyl-CoA oxidase activity'	
'11.9.4.3'	'lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase'	'go:0004300'	'enoyl-CoA hydratase activity'	
'11.9.4.5'	'lipid metabolism.lipid degradation.beta-oxidation.acyl-CoA thioesterase'	'go:0016291'	'acyl-CoA thioesterase activity'	
'11.9.4.9'	'lipid metabolism.lipid degradation.beta-oxidation.mutifunctional'	'go:0004300'	'enoyl-CoA hydratase activity'	
'11.9.4.9'	'lipid metabolism.lipid degradation.beta-oxidation.mutifunctional'	'go:0003857'	'3-hydroxyacyl-CoA dehydrogenase activity'	
'11.9.4.13'	'lipid metabolism.lipid degradation.beta-oxidation.acyl CoA reductase'	'go:0016627'	'oxidoreductase activity, acting on the CH-CH group of donors'	
'11.10'	''	''	''	
'11.10.1'	'lipid metabolism.glycolipid synthesis.MGDG synthase'	'go:0046509'	'1,2-diacylglycerol 3-beta-galactosyltransferase activity'	
'11.10.2'	'lipid metabolism.glycolipid synthesis.DGDG synthase'	'go:0046481'	'digalactosyldiacylglycerol synthase activity'	
'11.10.3'	'lipid metabolism.glycolipid synthesis.UDP-sulfoquinovose synthase'	'go:0046507'	'UDPsulfoquinovose synthase activity'	
